x,y,Width,Height,Var,ContrastMichelson,Entropy,IsSplit
192,0,16,32,3707.8,0.699164,4.92037,1
208,0,16,32,5767.51,0.709251,5.60964,1
160,16,16,16,1646.4,0.47032,5.14775,1
176,16,16,16,1238.53,0.559748,4.75948,1
160,32,16,32,5166.14,0.731602,5.6508,1
160,64,32,8,12217.4,0.766917,5.52044,1
192,64,32,16,8300.65,0.657895,6.15572,1
240,64,16,16,743.625,0.43871,4.46151,1
160,72,32,16,3776.66,0.704641,5.62777,1
160,88,32,8,830.434,0.546012,4.36566,1
160,96,32,16,5818.44,0.659389,5.36652,1
192,96,16,32,510.256,0.457516,4.33293,1
208,96,16,32,2319.77,0.618529,5.3951,1
240,96,16,32,4259.82,0.704065,5.66861,1
160,0,32,32,3131.41,0.642857,5.61236,1
192,0,32,32,5200.45,0.755656,5.46147,1
128,32,32,32,23719,0.815,7.03684,1
160,32,32,32,3484.24,0.731602,5.52508,1
192,32,32,32,4774.13,0.678295,5.991,1
160,64,32,32,5568.05,0.766917,5.60947,1
192,64,32,32,6450.02,0.657895,5.98003,1
224,64,32,32,1358.99,0.543956,5.05286,1
160,96,32,32,3827.09,0.688889,5.42299,1
192,96,32,32,1650.74,0.618529,5.0853,1
224,96,32,32,3507.9,0.704065,5.66081,1
344,32,4,8,1176.38,0.579439,4.01532,0
348,32,4,4,2890.43,0.581227,3.45282,0
348,36,4,8,378.688,0.386139,3.55423,0
344,40,4,8,38.6211,0.261261,2.51039,0
348,44,4,4,1328.11,0.5,3.625,0
328,48,4,4,895.027,0.414226,3.45282,0
320,52,4,4,602.062,0.320896,3.5,0
324,52,4,4,225.312,0.212121,3.03064,0
328,52,4,4,1916.56,0.494881,3.75,0
304,16,16,8,4832.37,0.570136,5.36142,0
368,16,8,16,849.097,0.284956,4.60979,0
376,16,8,16,4310.84,0.482036,5.43009,0
304,24,16,8,5226.27,0.56,5.37369,0
288,32,4,8,1911.12,0.372881,4.23861,0
292,32,4,8,123.124,0.171548,3.17611,0
296,32,16,4,296.78,0.314079,3.84289,0
312,32,8,4,1859.3,0.364238,4.42923,0
296,36,16,4,157.34,0.241667,3.54476,0
312,36,8,4,331.991,0.269231,3.72641,0
304,40,16,8,364.115,0.450331,3.80839,0
272,48,4,16,2046.08,0.387654,4.79087,0
276,48,8,16,1114.41,0.340426,4.73148,0
284,48,4,16,590.266,0.420382,4.28674,0
304,48,16,8,809.926,0.413105,4.56061,0
320,48,8,4,1973.3,0.458689,4.15252,0
332,48,4,8,95.7646,0.294118,2.97903,0
336,48,8,8,101.937,0.318182,3.18029,0
256,56,8,8,662.914,0.333333,4.09031,0
264,56,8,8,1472.38,0.3,4.74939,0
288,56,8,8,749.207,0.339031,4.22268,0
296,56,8,8,299.713,0.259516,3.70453,0
336,56,8,8,1518.42,0.638484,3.85882,0
352,64,4,8,630.562,0.412322,3.64032,0
356,64,4,8,543.382,0.423256,3.90252,0
376,88,8,4,1715.62,0.38189,4.26532,0
376,92,8,4,7498.72,0.52766,4.47641,0
336,96,4,8,4073.22,0.567708,4.5625,0
340,96,8,8,7531.72,0.694323,5.27555,0
348,96,4,8,7722.68,0.480836,4.53891,0
352,96,4,8,4156.12,0.515152,4.60141,0
356,96,8,8,4174.03,0.411255,4.81189,0
364,96,4,8,1064.5,0.254157,4.05111,0
352,104,8,16,1276.06,0.595376,4.73203,0
360,104,8,16,2983.01,0.560606,5.05409,0
288,112,8,8,3352.03,0.527495,4.76118,0
368,112,8,16,1409.6,0.546012,4.39062,0
376,112,8,16,25015.8,0.806094,6.07497,0
256,96,32,32,5737.28,0.731602,5.98225,0
344,32,4,16,838.636,0.609524,3.66049,1
348,32,4,16,1575.8,0.581227,4.36401,1
328,48,4,8,1498.43,0.515571,4.24173,1
320,52,8,4,576.25,0.388235,3.79284,1
304,16,16,16,5101.11,0.573991,5.63668,1
368,16,16,16,3210.06,0.482036,5.38926,1
288,32,8,8,1593.12,0.421053,4.32499,1
296,32,16,8,284.015,0.333333,3.91942,1
312,32,8,8,3767.24,0.529703,4.98407,1
344,32,8,16,1480.5,0.684615,4.53249,1
304,40,16,16,964.837,0.498489,4.68538,1
272,48,16,16,1470.63,0.510753,4.96862,1
320,48,8,8,1974.54,0.532934,4.61869,1
328,48,8,8,1116.06,0.604396,4.03558,1
336,48,8,16,1001.4,0.723926,3.95207,1
256,56,16,8,5133.7,0.53288,5.41985,1
288,56,16,8,765.194,0.374269,4.39614,1
352,64,8,8,603.603,0.423256,4.16058,1
376,88,8,8,4620.43,0.52766,5.08548,1
336,96,16,8,9426.41,0.717172,5.86408,1
352,96,16,8,4872.78,0.515152,5.4752,1
352,104,16,16,2169.28,0.630607,5.0882,1
288,112,8,16,2645.62,0.527495,5.16225,1
368,112,16,16,19218.9,0.806094,5.6908,1
336,120,16,8,1618.42,0.441253,5.04166,1
352,120,16,8,1376.17,0.6,4.6376,1
288,0,32,32,3727.07,0.709251,5.72102,1
368,0,16,32,6159.03,0.620198,5.87348,1
256,32,16,32,3895.56,0.550218,5.73603,1
272,32,16,32,2315.62,0.571765,5.43871,1
288,32,32,8,1889.08,0.545,4.69693,1
336,32,16,16,1793.33,0.707143,4.75159,1
288,40,32,16,861.296,0.498489,4.668,1
320,48,16,16,2858.5,0.699164,4.88039,1
